Year,Portland Temp,Global Temp
1828,9.38,8.17
1829,9.11,7.94
1830,,8.52
1831,,7.64
1832,6.25,7.45
1833,9.69,8.01
1834,9.35,8.15
1835,7.96,7.39
1836,9.01,7.70
1837,9.05,7.38
1838,8.86,7.51
1839,9.46,7.63
1840,8.96,7.80
1841,9.05,7.69
1842,9.14,8.02
1843,8.92,8.17
1844,8.74,7.65
1845,9.15,7.85
1846,,8.55
1847,10.96,8.09
1848,8.92,7.98
1849,9.05,7.98
1850,9.32,7.90
1851,10.02,8.18
1852,9.31,8.10
1853,9.93,8.04
1854,9.23,8.21
1855,9.62,8.11
1856,9.63,8.00
1857,10.13,7.76
1858,9.31,8.10
1859,8.66,8.25
1860,9.77,7.96
1861,9.55,7.85
1862,8.73,7.56
1863,9.83,8.11
1864,10.00,7.98
1865,9.32,8.18
1866,9.76,8.29
1867,9.40,8.44
1868,9.17,8.25
1869,10.53,8.43
1870,10.06,8.20
1871,10.13,8.12
1872,9.74,8.19
1873,9.71,8.35
1874,9.61,8.43
1875,9.58,7.86
1876,9.51,8.08
1877,10.25,8.54
1878,9.86,8.83
1879,9.10,8.17
1880,8.32,8.12
1881,9.35,8.27
1882,9.16,8.13
1883,9.34,7.98
1884,9.34,7.77
1885,10.91,7.92
1886,10.09,7.95
1887,9.22,7.91
1888,10.05,8.09
1889,10.63,8.32
1890,9.20,7.97
1891,9.94,8.02
1892,9.61,8.07
1893,8.37,8.06
1894,9.15,8.16
1895,9.37,8.15
1896,9.54,8.21
1897,9.81,8.29
1898,9.65,8.18
1899,9.31,8.40
1900,10.07,8.50
1901,9.36,8.54
1902,9.42,8.30
1903,9.29,8.22
1904,9.90,8.09
1905,9.82,8.23
1906,10.18,8.38
1907,10.00,7.95
1908,9.69,8.19
1909,8.95,8.18
1910,9.55,8.22
1911,9.00,8.18
1912,9.67,8.17
1913,9.29,8.30
1914,10.02,8.59
1915,10.24,8.59
1916,8.59,8.23
1917,9.54,8.02
1918,10.06,8.13
1919,9.20,8.38
1920,9.16,8.36
1921,9.50,8.57
1922,8.83,8.41
1923,9.85,8.42
1924,9.58,8.51
1925,10.38,8.53
1926,10.90,8.73
1927,9.46,8.52
1928,9.86,8.63
1929,9.27,8.24
1930,9.38,8.63
1931,10.36,8.72
1932,9.71,8.71
1933,9.40,8.34
1934,11.41,8.63
1935,9.57,8.52
1936,10.05,8.55
1937,9.70,8.70
1938,9.97,8.86
1939,10.32,8.76
1940,10.88,8.76
1941,10.90,8.77
1942,10.19,8.73
1943,9.78,8.76
1944,9.98,8.85
1945,9.84,8.58
1946,9.67,8.68
1947,10.39,8.80
1948,9.03,8.75
1949,9.31,8.59
1950,9.33,8.37
1951,9.63,8.63
1952,9.70,8.64
1953,10.31,8.87
1954,9.51,8.56
1955,8.71,8.63
1956,9.52,8.28
1957,9.93,8.73
1958,11.43,8.77
1959,9.93,8.73
1960,9.72,8.58
1961,10.31,8.80
1962,9.74,8.75
1963,10.07,8.86
1964,9.20,8.41
1965,10.07,8.53
1966,10.16,8.60
1967,10.48,8.70
1968,10.07,8.52
1969,9.72,8.60
1970,9.82,8.70
1971,9.33,8.60
1972,9.65,8.50
1973,9.86,8.95
1974,9.97,8.47
1975,9.48,8.74
1976,9.73,8.35
1977,9.87,8.85
1978,10.10,8.69
1979,10.24,8.73
1980,9.95,8.98
1981,10.51,9.17
1982,9.66,8.64
1983,10.37,9.03
1984,9.80,8.69
1985,8.96,8.66
1986,10.55,8.83
1987,10.70,8.99
1988,10.24,9.20
1989,10.06,8.92
1990,10.27,9.23
1991,10.31,9.18
1992,11.28,8.84
1993,9.90,8.87
1994,10.37,9.04
1995,10.96,9.35
1996,10.11,9.04
1997,10.76,9.20
1998,10.79,9.52
1999,10.16,9.29
2000,10.11,9.20
2001,10.15,9.41
2002,10.37,9.57
2003,10.99,9.53
2004,11.13,9.32
2005,10.62,9.70
2006,10.51,9.53
2007,10.17,9.73
2008,9.80,9.43
2009,10.14,9.51
2010,10.50,9.70
2011,9.67,9.52
2012,10.25,9.51
2013,11.74,9.61
